industry,model_name,avg_mention_count,std_mention_count,avg_citation_count,std_citation_count,n
寵物業,chatgpt,3.5926,4.0518,4.4753,2.0648,162
寵物業,gemini,4.7778,4.1985,10.7037,2.3824,162
搬家類,chatgpt,2.4198,3.1969,5.2531,1.8527,162
搬家類,gemini,4.7284,5.3499,11.4753,3.0811,162
服裝類,chatgpt,2.1173,3.9804,3.8395,2.385,162
服裝類,gemini,3.7901,4.543,11.4259,2.9736,162
法律類,chatgpt,1.3642,2.0963,4.1111,1.5841,162
法律類,gemini,2.1543,2.8297,11.9753,3.2032,162
科技類,chatgpt,2.8086,2.6317,4.5679,1.4697,162
科技類,gemini,4.0062,2.6691,8.8827,4.7944,162
美妝業,chatgpt,2.821,3.2721,3.9444,1.8758,162
美妝業,gemini,4.2469,4.354,12.7901,2.8051,162
行銷類,chatgpt,3.8882,3.9418,4.7081,2.1956,161
行銷類,gemini,4.1728,3.2218,10.0432,2.5498,162
金融類,chatgpt,2.8642,3.4452,3.5802,1.8507,162
金融類,gemini,7.8148,4.6428,11.6358,4.0521,162
電腦類,chatgpt,4.1988,3.1718,3.764,1.9056,161
電腦類,gemini,5.821,3.2607,9.4321,3.2626,162
食品業,chatgpt,3.764,3.982,3.9068,1.9551,161
食品業,gemini,6.7284,5.0205,11.7901,4.8805,162
