model_name,industry,n,avg_paragraph_count,avg_header_count,avg_bullet_count,avg_numbered_item_count,avg_list_item_count,pct_has_conclusion,pct_条列型,pct_段落型,pct_混合型,avg_first_para_ratio,avg_bold_marker_count
chatgpt,寵物業,162,27.84,8.025,24.735,0.753,25.488,7.4,27.8,0.6,71.6,0.043,22.914
chatgpt,搬家類,162,29.685,8.975,28.253,0.414,28.667,3.7,33.3,0.6,66.0,0.04,20.105
chatgpt,服裝類,162,26.29,6.883,23.864,0.259,24.123,8.6,21.6,0.6,77.8,0.042,20.889
chatgpt,法律類,162,29.654,8.654,23.833,1.154,24.988,8.6,13.0,0.0,87.0,0.039,19.272
chatgpt,科技類,162,30.284,8.852,28.037,0.241,28.278,4.9,22.2,0.0,77.8,0.037,24.531
chatgpt,美妝業,162,24.438,7.198,22.321,0.142,22.463,5.6,26.5,0.6,72.8,0.037,21.951
chatgpt,行銷類,161,32.627,9.286,28.516,1.012,29.528,1.9,18.6,1.9,79.5,0.042,20.36
chatgpt,金融類,162,29.5,7.981,21.642,0.42,22.062,4.3,9.9,1.9,88.3,0.062,20.302
chatgpt,電腦類,161,30.106,8.242,27.683,0.28,27.963,6.8,27.3,3.1,69.6,0.035,23.031
chatgpt,食品業,161,20.019,5.627,23.354,0.106,23.46,16.1,52.2,0.0,47.8,0.048,21.106
gemini,寵物業,162,9.154,4.506,13.58,2.852,16.432,90.7,60.5,0.6,38.9,0.06,26.185
gemini,搬家類,162,8.852,4.469,15.21,3.84,19.049,88.9,67.3,0.0,32.7,0.057,26.815
gemini,服裝類,162,7.988,4.611,16.512,1.685,18.198,77.2,75.3,0.0,24.7,0.062,29.772
gemini,法律類,162,9.543,4.642,12.71,4.247,16.957,89.5,58.6,0.0,41.4,0.056,26.185
gemini,科技類,162,8.963,4.475,13.957,2.383,16.34,92.6,58.6,0.0,41.4,0.057,30.142
gemini,美妝業,162,8.395,4.364,13.259,2.21,15.469,93.8,54.3,1.9,43.8,0.058,27.074
gemini,行銷類,162,9.605,4.809,14.049,3.852,17.901,90.7,64.2,0.0,35.8,0.057,27.722
gemini,金融類,162,10.278,4.981,16.019,2.463,18.481,80.2,65.4,1.9,32.7,0.052,33.981
gemini,電腦類,162,9.296,4.907,16.846,1.722,18.568,92.0,61.7,0.0,38.3,0.054,32.117
gemini,食品業,162,7.759,4.481,15.741,1.333,17.074,87.0,67.3,0.6,32.1,0.062,28.105
