industry,model,intent,adjacent_pair_count,exact_same_ordered_list_pct,exact_same_unordered_set_pct,top1_same_pct,avg_top3_overlap_pct,avg_entity_set_jaccard_pct,avg_rank_volatility,analyzed_prompt_count
寵物業,chatgpt,推薦型,45,0.0,0.0,13.33,30.37,24.5,1.5654,9
寵物業,chatgpt,比較型,30,0.0,0.0,6.67,10.0,8.33,1.8725,8
寵物業,chatgpt,知識型,8,0.0,0.0,0.0,0.0,0.0,0.0,4
寵物業,gemini,推薦型,45,0.0,0.0,8.89,30.37,30.68,1.6407,9
寵物業,gemini,比較型,37,0.0,0.0,5.41,18.02,14.3,3.0833,9
寵物業,gemini,知識型,20,0.0,0.0,20.0,24.17,13.68,0.7167,6
搬家類,chatgpt,推薦型,45,0.0,0.0,15.56,25.93,22.34,1.4203,9
搬家類,chatgpt,比較型,17,5.88,5.88,5.88,5.88,5.88,0,8
搬家類,chatgpt,知識型,14,7.14,7.14,7.14,7.14,7.14,0,7
搬家類,gemini,推薦型,45,0.0,0.0,42.22,39.26,32.02,2.1745,9
搬家類,gemini,比較型,39,2.56,2.56,17.95,23.93,15.7,1.3226,9
搬家類,gemini,知識型,31,3.23,3.23,6.45,4.84,4.3,0,9
服裝類,chatgpt,推薦型,29,0.0,0.0,24.14,25.86,14.43,1.269,9
服裝類,chatgpt,比較型,19,0.0,0.0,26.32,38.6,17.69,1.6118,5
服裝類,chatgpt,知識型,15,0.0,0.0,6.67,3.33,3.33,0,6
服裝類,gemini,推薦型,43,0.0,0.0,37.21,27.91,17.58,1.3945,9
服裝類,gemini,比較型,34,0.0,0.0,29.41,22.55,11.34,1.667,9
服裝類,gemini,知識型,22,0.0,0.0,4.55,6.06,5.68,0.5,8
法律類,chatgpt,推薦型,38,7.89,7.89,28.95,32.02,28.53,1.3611,9
法律類,chatgpt,比較型,24,12.5,12.5,16.67,13.89,13.89,0,9
法律類,chatgpt,知識型,19,10.53,10.53,10.53,10.53,10.53,0,8
法律類,gemini,推薦型,45,0.0,0.0,15.56,19.63,18.53,1.6935,9
法律類,gemini,比較型,27,7.41,7.41,14.81,14.2,12.96,0.2,9
法律類,gemini,知識型,27,3.7,3.7,11.11,6.79,6.3,0,9
科技類,chatgpt,推薦型,45,6.67,11.11,44.44,45.93,48.91,0.9444,9
科技類,chatgpt,比較型,37,2.7,2.7,21.62,29.73,35.03,1.0118,9
科技類,chatgpt,知識型,15,20.0,20.0,20.0,20.0,20.0,0,7
科技類,gemini,推薦型,45,2.22,4.44,22.22,41.48,50.45,1.4837,9
科技類,gemini,比較型,38,0.0,2.63,23.68,29.82,31.5,1.9443,9
科技類,gemini,知識型,32,0.0,0.0,9.38,30.21,22.92,1.0137,8
美妝業,chatgpt,推薦型,45,0.0,0.0,11.11,22.22,23.33,1.6005,9
美妝業,chatgpt,比較型,26,0.0,0.0,7.69,11.54,14.53,2.125,8
美妝業,chatgpt,知識型,8,0.0,0.0,0.0,0.0,0.0,0.0,5
美妝業,gemini,推薦型,45,0.0,0.0,8.89,21.48,24.36,2.0798,9
美妝業,gemini,比較型,33,0.0,0.0,9.09,11.11,11.13,3.4604,9
美妝業,gemini,知識型,24,0.0,0.0,12.5,6.94,9.03,1.4286,8
行銷類,chatgpt,推薦型,43,0.0,0.0,30.23,30.23,18.35,1.3959,9
行銷類,chatgpt,比較型,35,25.71,25.71,25.71,27.14,27.14,0.1,9
行銷類,chatgpt,知識型,44,36.36,36.36,54.55,51.89,48.36,0.2121,9
行銷類,gemini,推薦型,45,0.0,0.0,53.33,44.44,39.76,1.1816,9
行銷類,gemini,比較型,43,16.28,20.93,37.21,39.15,35.4,0.7636,9
行銷類,gemini,知識型,45,26.67,26.67,60.0,52.59,47.75,0.4103,9
金融類,chatgpt,推薦型,45,0.0,0.0,22.22,29.63,19.72,1.8275,9
金融類,chatgpt,比較型,27,3.7,3.7,7.41,9.26,7.98,1.8,8
金融類,chatgpt,知識型,18,0.0,0.0,11.11,8.33,7.41,0.6667,5
金融類,gemini,推薦型,45,0.0,0.0,15.56,14.07,19.01,2.703,9
金融類,gemini,比較型,45,2.22,2.22,22.22,25.93,26.68,2.2147,9
金融類,gemini,知識型,38,5.26,5.26,21.05,21.93,18.62,1.5921,9
電腦類,chatgpt,推薦型,45,2.22,4.44,33.33,57.78,44.91,1.2166,9
電腦類,chatgpt,比較型,41,7.32,9.76,46.34,42.68,44.77,0.7976,9
電腦類,chatgpt,知識型,35,8.57,8.57,37.14,35.24,30.03,0.7632,9
電腦類,gemini,推薦型,45,4.44,6.67,40.0,57.04,54.65,1.0199,9
電腦類,gemini,比較型,45,0.0,2.22,24.44,36.3,33.74,1.6376,9
電腦類,gemini,知識型,40,2.5,2.5,42.5,36.67,30.4,0.9905,9
食品業,chatgpt,推薦型,45,0.0,0.0,22.22,30.37,24.06,1.4458,9
食品業,chatgpt,比較型,32,3.12,3.12,15.62,15.62,16.99,1.3952,9
食品業,chatgpt,知識型,5,20.0,20.0,20.0,20.0,20.0,0,2
食品業,gemini,推薦型,45,0.0,0.0,42.22,49.63,39.95,1.6595,9
食品業,gemini,比較型,45,0.0,0.0,24.44,34.81,26.05,1.8891,9
食品業,gemini,知識型,18,0.0,0.0,5.56,16.67,16.19,1.2833,6
