date,analyzable_aio_tasks,tasks_with_aio_refs,aio_domain_instances,serp_top3_domain_instances,serp_top10_domain_instances,top3_overlap_domain_instances,top10_overlap_domain_instances,aio_to_serp_top3_overlap_pct,aio_to_serp_top10_overlap_pct,serp_top3_to_aio_overlap_pct,serp_top10_to_aio_overlap_pct,task_top3_overlap_pct,task_top10_overlap_pct
2026-05-14,315,315,2652,939,3039,716,1814,27.0,68.4,76.25,59.69,99.05,100.0
2026-05-15,329,322,2702,978,3203,688,1727,25.46,63.92,70.35,53.92,97.52,100.0
2026-05-16,337,327,2679,1002,3269,688,1696,25.68,63.31,68.66,51.88,98.17,99.39
2026-05-17,335,321,2647,998,3250,677,1683,25.58,63.58,67.84,51.78,97.82,99.69
2026-05-18,333,326,2643,991,3229,678,1660,25.65,62.81,68.42,51.41,95.71,99.69
2026-05-19,331,324,2625,984,3182,644,1603,24.53,61.07,65.45,50.38,95.68,99.38
2026-05-20,340,331,2636,1011,3260,645,1637,24.47,62.1,63.8,50.21,96.37,99.4
2026-05-21,334,318,2584,994,3205,650,1573,25.15,60.87,65.39,49.08,97.17,99.69
2026-05-22,335,293,2439,1001,3209,606,1460,24.85,59.86,60.54,45.5,97.61,99.66
2026-05-23,326,322,2648,972,3114,645,1609,24.36,60.76,66.36,51.67,96.27,99.38
2026-05-24,357,352,2895,1064,3430,699,1714,24.15,59.21,65.7,49.97,95.74,99.72
2026-05-25,338,335,2809,1005,3230,674,1644,23.99,58.53,67.06,50.9,96.12,100.0
2026-05-26,343,339,2767,1021,3298,673,1674,24.32,60.5,65.92,50.76,97.05,99.71
2026-05-27,344,342,2775,1025,3283,684,1677,24.65,60.43,66.73,51.08,94.74,100.0
2026-05-28,343,337,2755,1023,3302,657,1635,23.85,59.35,64.22,49.52,96.14,99.7
2026-05-29,322,317,2639,961,3081,617,1543,23.38,58.47,64.2,50.08,94.64,99.68
2026-05-30,344,337,2458,1025,3311,624,1525,25.39,62.04,60.88,46.06,94.36,99.7
2026-05-31,340,335,2473,1013,3296,670,1608,27.09,65.02,66.14,48.79,95.52,100.0
2026-06-01,371,367,2666,1105,3599,728,1755,27.31,65.83,65.88,48.76,94.28,99.18
2026-06-02,362,360,2598,1078,3504,681,1617,26.21,62.24,63.17,46.15,93.61,100.0
2026-06-03,374,372,2781,1116,3615,720,1712,25.89,61.56,64.52,47.36,93.82,98.92
2026-06-04,353,349,2532,1055,3421,654,1595,25.83,62.99,61.99,46.62,94.84,99.71
2026-06-05,371,367,2617,1109,3596,674,1635,25.75,62.48,60.78,45.47,94.82,99.73
2026-06-06,350,345,2489,1044,3396,650,1548,26.11,62.19,62.26,45.58,93.04,99.13
2026-06-07,361,355,2610,1076,3502,654,1621,25.06,62.11,60.78,46.29,93.24,99.44
2026-06-08,383,377,2692,1144,3724,707,1731,26.26,64.3,61.8,46.48,94.16,100.0
2026-06-09,88,87,577,263,849,148,379,25.65,65.68,56.27,44.64,91.95,100.0
2026-06-10,275,272,1968,824,2677,521,1257,26.47,63.87,63.23,46.96,94.12,99.63
2026-06-11,208,203,1397,618,2008,386,943,27.63,67.5,62.46,46.96,97.54,100.0
2026-06-12,151,146,1081,452,1477,282,692,26.09,64.01,62.39,46.85,94.52,100.0
