industry,model,intent,adjacent_day_overlap_pct,any_day_overlap_pct,exact_same_adjacent_day_pair_pct,unique_count,appeared_at_least_3_days_count,appeared_at_least_4_days_count
科技類,chatgpt,推薦型,54.18,51.14,11.11,90,40,32
科技類,chatgpt,比較型,42.09,47.88,11.11,68,27,21
科技類,chatgpt,知識型,28.57,28.57,28.57,10,1,0
科技類,gemini,推薦型,53.38,54.7,4.44,92,44,37
科技類,gemini,比較型,32.84,26.56,4.44,97,35,19
科技類,gemini,知識型,23.74,19.84,0.0,82,18,12
法律類,chatgpt,推薦型,32.98,32.38,15.56,95,20,14
法律類,chatgpt,比較型,37.03,37.02,33.33,19,0,0
法律類,chatgpt,知識型,18.75,16.66,18.75,19,0,0
法律類,gemini,推薦型,20.67,20.0,0.0,158,25,14
法律類,gemini,比較型,19.44,15.34,11.11,30,1,0
法律類,gemini,知識型,9.44,10.92,5.56,38,1,0
金融類,chatgpt,推薦型,19.72,15.7,0.0,224,36,14
金融類,chatgpt,比較型,16.23,16.25,12.5,54,4,2
金融類,chatgpt,知識型,9.16,5.96,0.0,24,2,0
金融類,gemini,推薦型,19.03,17.04,0.0,311,53,26
金融類,gemini,比較型,26.8,21.6,2.22,255,56,27
金融類,gemini,知識型,25.26,24.29,11.11,175,30,9
行銷類,chatgpt,推薦型,18.78,17.43,0.0,296,52,22
行銷類,chatgpt,比較型,64.81,57.96,61.11,27,8,0
行銷類,chatgpt,知識型,55.9,51.01,40.19,51,10,9
行銷類,gemini,推薦型,41.84,41.34,0.0,154,66,49
行銷類,gemini,比較型,42.16,35.51,27.41,72,19,9
行銷類,gemini,知識型,55.33,53.61,32.78,56,15,12
搬家類,chatgpt,推薦型,22.34,19.01,0.0,204,48,24
搬家類,chatgpt,比較型,12.5,12.5,12.5,17,0,0
搬家類,chatgpt,知識型,7.14,4.76,7.14,14,0,0
搬家類,gemini,推薦型,34.22,31.82,0.0,278,90,59
搬家類,gemini,比較型,27.49,24.49,13.89,64,15,10
搬家類,gemini,知識型,12.34,8.96,9.26,31,1,0
服裝類,chatgpt,推薦型,24.26,21.43,0.0,84,13,9
服裝類,chatgpt,比較型,15.64,16.52,0.0,87,18,12
服裝類,chatgpt,知識型,8.33,9.45,0.0,30,0,0
服裝類,gemini,推薦型,21.28,19.27,2.78,184,37,25
服裝類,gemini,比較型,16.49,15.91,6.48,117,31,14
服裝類,gemini,知識型,5.45,6.55,0.0,37,2,2
寵物業,chatgpt,推薦型,26.81,28.46,0.0,194,58,32
寵物業,chatgpt,比較型,21.56,21.81,12.5,96,16,8
寵物業,chatgpt,知識型,0.0,8.32,0.0,7,0,0
寵物業,gemini,推薦型,32.88,32.52,0.0,181,55,38
寵物業,gemini,比較型,12.07,14.48,0.0,168,37,13
寵物業,gemini,知識型,12.27,13.72,0.0,47,8,3
美妝業,chatgpt,推薦型,25.56,23.11,0.0,175,36,23
美妝業,chatgpt,比較型,9.97,8.28,0.0,80,14,7
美妝業,chatgpt,知識型,0.0,0.0,0.0,14,0,0
美妝業,gemini,推薦型,26.22,25.13,0.0,216,47,29
美妝業,gemini,比較型,15.57,14.06,0.0,133,21,10
美妝業,gemini,知識型,5.93,5.72,0.0,59,5,3
食品業,chatgpt,推薦型,24.07,24.98,0.0,229,49,25
食品業,chatgpt,比較型,23.29,27.17,11.11,104,20,8
食品業,chatgpt,知識型,50.0,50.0,50.0,4,0,0
食品業,gemini,推薦型,39.97,38.41,0.0,257,89,61
食品業,gemini,比較型,26.11,27.9,0.0,209,57,36
食品業,gemini,知識型,12.73,14.12,0.0,33,9,6
電腦類,chatgpt,推薦型,45.06,39.41,4.44,157,48,30
電腦類,chatgpt,比較型,45.61,40.77,12.78,79,29,26
電腦類,chatgpt,知識型,44.38,41.81,15.56,64,18,9
電腦類,gemini,推薦型,54.92,50.07,6.67,126,63,49
電腦類,gemini,比較型,33.84,30.42,2.22,181,43,29
電腦類,gemini,知識型,32.79,28.0,2.22,128,27,12
