industry,model_name,intent_type,avg_mention_count,avg_citation_count,n
科技類,chatgpt,推薦型,4.85,4.17,54
科技類,chatgpt,比較型,3.33,4.5,54
科技類,chatgpt,知識型,0.24,5.04,54
科技類,gemini,推薦型,5.11,9.3,54
科技類,gemini,比較型,4.11,8.57,54
科技類,gemini,知識型,2.8,8.78,54
法律類,chatgpt,推薦型,3.19,5,54
法律類,chatgpt,比較型,0.48,2.85,54
法律類,chatgpt,知識型,0.43,4.48,54
法律類,gemini,推薦型,4.93,10.59,54
法律類,gemini,比較型,0.74,11.5,54
法律類,gemini,知識型,0.8,13.83,54
金融類,chatgpt,推薦型,6.63,4.63,54
金融類,chatgpt,比較型,1.39,2.91,54
金融類,chatgpt,知識型,0.57,3.2,54
金融類,gemini,推薦型,9.81,11.26,54
金融類,gemini,比較型,8.76,13.24,54
金融類,gemini,知識型,4.87,10.41,54
行銷類,chatgpt,推薦型,9.02,6.83,53
行銷類,chatgpt,比較型,0.89,3.11,54
行銷類,chatgpt,知識型,1.85,4.22,54
行銷類,gemini,推薦型,7.61,10,54
行銷類,gemini,比較型,2.72,10.67,54
行銷類,gemini,知識型,2.19,9.46,54
搬家類,chatgpt,推薦型,6.63,6.2,54
搬家類,chatgpt,比較型,0.35,4.35,54
搬家類,chatgpt,知識型,0.28,5.2,54
搬家類,gemini,推薦型,11.31,11.33,54
搬家類,gemini,比較型,2.2,11.26,54
搬家類,gemini,知識型,0.67,11.83,54
服裝類,chatgpt,推薦型,2.67,5.22,54
服裝類,chatgpt,比較型,3.09,3.31,54
服裝類,chatgpt,知識型,0.59,2.98,54
服裝類,gemini,推薦型,6.28,10.83,54
服裝類,gemini,比較型,4.24,12.31,54
服裝類,gemini,知識型,0.85,11.13,54
寵物業,chatgpt,推薦型,7.59,5.17,54
寵物業,chatgpt,比較型,3.04,4.48,54
寵物業,chatgpt,知識型,0.15,3.78,54
寵物業,gemini,推薦型,7.44,10.52,54
寵物業,gemini,比較型,5.54,11.5,54
寵物業,gemini,知識型,1.35,10.09,54
美妝業,chatgpt,推薦型,5.8,4.69,54
美妝業,chatgpt,比較型,2.41,3.57,54
美妝業,chatgpt,知識型,0.26,3.57,54
美妝業,gemini,推薦型,7.31,12.85,54
美妝業,gemini,比較型,3.91,12.94,54
美妝業,gemini,知識型,1.52,12.57,54
食品業,chatgpt,推薦型,7.74,5.3,54
食品業,chatgpt,比較型,3.43,4.17,53
食品業,chatgpt,知識型,0.11,2.26,54
食品業,gemini,推薦型,11.26,14.56,54
食品業,gemini,比較型,7.81,13.28,54
食品業,gemini,知識型,1.11,7.54,54
電腦類,chatgpt,推薦型,6.37,4.3,54
電腦類,chatgpt,比較型,3.8,4.37,54
電腦類,chatgpt,知識型,2.4,2.6,53
電腦類,gemini,推薦型,6.87,9.35,54
電腦類,gemini,比較型,6.48,8.72,54
電腦類,gemini,知識型,4.11,10.22,54
